"Sr.no","SMSID ","Message","SenderID","GroupID","Count"
"1","4553","Welcome to TaskBucks, your a/c verification code is: 264292","_utility","174","400"
"2","15402","Welcome to TaskBucks, your a/c verification code is: 829369","_utility","174","400"
"3","19131","Welcome to TaskBucks, your a/c verification code is: 682363","_utility","174","400"
"4","19151","Welcome to TaskBucks, your a/c verification code is: 293683","_utility","174","400"
"5","30478","Welcome to TaskBucks, your a/c verification code is: 492893","_utility","174","400"
"6","32880","Welcome to TaskBucks, your a/c verification code is: 288933","_utility","174","400"
"7","38666","Welcome to TaskBucks, your a/c verification code is: 897326","_utility","174","400"
"8","38697","Welcome to TaskBucks, your a/c verification code is: 423222","_utility","174","400"
"9","38936","Welcome to TaskBucks, your a/c verification code is: 889942","_utility","174","400"
"10","39038","Welcome to TaskBucks, your a/c verification code is: 244856","_utility","174","400"
"11","39055","Welcome to TaskBucks, your a/c verification code is: 882948","_utility","174","400"
"12","39292","Welcome to TaskBucks, your a/c verification code is: 968222","_utility","174","400"
"13","39352","Welcome to TaskBucks, your a/c verification code is: 393295","_utility","174","400"
"14","39471","Welcome to TaskBucks, your a/c verification code is: 529459","_utility","174","400"
"15","39889","Welcome to TaskBucks, your a/c verification code is: 629286","_utility","174","400"
"16","40043","Welcome to TaskBucks, your a/c verification code is: 552623","_utility","174","400"
"17","40086","Welcome to TaskBucks, your a/c verification code is: 922922","_utility","174","400"
"18","40098","Welcome to TaskBucks, your a/c verification code is: 396323","_utility","174","400"
"19","40141","Welcome to TaskBucks, your a/c verification code is: 493683","_utility","174","400"
"20","40214","Welcome to TaskBucks, your a/c verification code is: 662945","_utility","174","400"
"21","40495","Welcome to TaskBucks, your a/c verification code is: 469644","_utility","174","400"
"22","40521","Welcome to TaskBucks, your a/c verification code is: 262299","_utility","174","400"
"23","40551","Welcome to TaskBucks, your a/c verification code is: 468429","_utility","174","400"
"24","40595","Welcome to TaskBucks, your a/c verification code is: 932362","_utility","174","400"
"25","40638","Welcome to TaskBucks, your a/c verification code is: 628493","_utility","174","400"
"26","40667","Welcome to TaskBucks, your a/c verification code is: 239992","_utility","174","400"
"27","40754","Welcome to TaskBucks, your a/c verification code is: 772623","_utility","174","400"
"28","40784","Welcome to TaskBucks, your a/c verification code is: 374923","_utility","174","400"
"29","40827","Welcome to TaskBucks, your a/c verification code is: 697533","_utility","174","400"
"30","40879","Welcome to TaskBucks, your a/c verification code is: 382395","_utility","174","400"
"31","40880","Welcome to TaskBucks, your a/c verification code is: 346444","_utility","174","400"
"32","41048","Welcome to TaskBucks, your a/c verification code is: 338235","_utility","174","400"
"33","41050","Welcome to TaskBucks, your a/c verification code is: 828829","_utility","174","400"
"34","41289","Welcome to TaskBucks, your a/c verification code is: 822822","_utility","174","400"
"35","41324","Welcome to TaskBucks, your a/c verification code is: 427923","_utility","174","400"
"36","42086","Welcome to TaskBucks, your a/c verification code is: 337324","_utility","174","400"
"37","42626","Welcome to TaskBucks, your a/c verification code is: 324639","_utility","174","400"
"38","42707","Welcome to TaskBucks, your a/c verification code is: 346334","_utility","174","400"
"39","43173","Welcome to TaskBucks, your a/c verification code is: 993286","_utility","174","400"
"40","43631","Welcome to TaskBucks, your a/c verification code is: 392394","_utility","174","400"
"41","44312","Welcome to TaskBucks, your a/c verification code is: 869697","_utility","174","400"
"42","44525","Welcome to TaskBucks, your a/c verification code is: 354433","_utility","174","400"
"43","44526","Welcome to TaskBucks, your a/c verification code is: 328773","_utility","174","400"
"44","44859","Welcome to TaskBucks, your a/c verification code is: 648962","_utility","174","400"
"45","45495","Welcome to TaskBucks, your a/c verification code is: 924369","_utility","174","400"
"46","45700","Welcome to TaskBucks, your a/c verification code is: 722297","_utility","174","400"
"47","45896","Welcome to TaskBucks, your a/c verification code is: 843963","_utility","174","400"
"48","45974","Welcome to TaskBucks, your a/c verification code is: 276869","_utility","174","400"
"49","45975","Welcome to TaskBucks, your a/c verification code is: 567832","_utility","174","400"
"50","46273","Welcome to TaskBucks, your a/c verification code is: 248486","_utility","174","400"
"51","46758","Welcome to TaskBucks, your a/c verification code is: 993248","_utility","174","400"
"52","46759","Welcome to TaskBucks, your a/c verification code is: 389563","_utility","174","400"
"53","47150","Welcome to TaskBucks, your a/c verification code is: 593938","_utility","174","400"
"54","47270","Welcome to TaskBucks, your a/c verification code is: 333538","_utility","174","400"
"55","47816","Welcome to TaskBucks, your a/c verification code is: 742262","_utility","174","400"
"56","47907","Welcome to TaskBucks, your a/c verification code is: 284564","_utility","174","400"
"57","48180","Welcome to TaskBucks, your a/c verification code is: 992876","_utility","174","400"
"58","48982","Welcome to TaskBucks, your a/c verification code is: 243899","_utility","174","400"
"59","50435","Welcome to TaskBucks, your a/c verification code is: 329438","_utility","174","400"
"60","51677","Welcome to TaskBucks, your a/c verification code is: 363242","_utility","174","400"
"61","51736","Welcome to TaskBucks, your a/c verification code is: 728739","_utility","174","400"
"62","51771","Welcome to TaskBucks, your a/c verification code is: 753234","_utility","174","400"
"63","52145","Welcome to TaskBucks, your a/c verification code is: 365993","_utility","174","400"
"64","52146","Welcome to TaskBucks, your a/c verification code is: 479233","_utility","174","400"
"65","52372","Welcome to TaskBucks, your a/c verification code is: 284496","_utility","174","400"
"66","53148","Welcome to TaskBucks, your a/c verification code is: 338549","_utility","174","400"
"67","53705","Welcome to TaskBucks, your a/c verification code is: 323942","_utility","174","400"
"68","58996","Welcome to TaskBucks, your a/c verification code is: 544429","_utility","174","400"
